query_id,query,n_exact_gt,product_id,product_title,esci_label,type,pred_rank,precision,recall,f1,latency_ms
2,!qscreen fence without holes,10,B0019Y6TTC,Garden Creations JB4710 Extendable Instant Fence,E,TP,1,0.8,0.8,0.8,29619.17
2,!qscreen fence without holes,10,B018JYCD80,"Zippity Outdoor Products ZP19001 No Dig Madison Vinyl Picket Fence, White, 30"" x 56"" (1 Box, 2 Panels), 1 x Pack of 2",E,TP,2,0.8,0.8,0.8,29619.17
2,!qscreen fence without holes,10,B07DHX8YH2,"Zippity Outdoor Products ZP19026 Lightweight Portable Vinyl Picket Fence Kit w/Metal Base(42"" H x 92"" W), White",E,TP,3,0.8,0.8,0.8,29619.17
2,!qscreen fence without holes,10,B07R6P8TK8,"Amgo 4' x 50' Black Fence Privacy Screen Windscreen,with Bindings & Grommets, Heavy Duty for Commercial and Residential, 90% Blockage, Cable Zip Ties Included, (Available for Custom Sizes)",E,TP,4,0.8,0.8,0.8,29619.17
2,!qscreen fence without holes,10,B001OJXVKW,Windscreen4less Heavy Duty Privacy Screen Fence in Color Solid Black 6' x 50' Brass Grommets 150 GSM - Customized,E,TP,5,0.8,0.8,0.8,29619.17
2,!qscreen fence without holes,10,B07MFP4PPQ,"Sunnyglade 6 feet x 50 feet Privacy Screen Fence Heavy Duty Fencing Mesh Shade Net Cover for Wall Garden Yard Backyard (6 ft X 50 ft, Green)",E,TP,6,0.8,0.8,0.8,29619.17
2,!qscreen fence without holes,10,B018JYCBWI,"Zippity Outdoor Products ZP19008 Wilmington Vinyl Privacy Screen, 36"" x 48"" White , 2- Pack",I,FP,7,0.8,0.8,0.8,29619.17
2,!qscreen fence without holes,10,B08NG85RHL,Orgrimmar Green 6’x50’ Fence Privacy Screen Heavy Duty Garden Fence Mesh Shade Net Cover for Outdoor Wall Porch Patio Backyard Balcony,E,TP,8,0.8,0.8,0.8,29619.17
2,!qscreen fence without holes,10,B07TVHBMZS,"DearHouse Artificial Ivy Privacy Fence Screen, 98.4x59in Artificial Hedges Fence and Faux Ivy Vine Leaf Decoration for Outdoor Garden Decor",I,FP,9,0.8,0.8,0.8,29619.17
2,!qscreen fence without holes,10,B07R3TNQDM,"Amgo 6' x 50' Black Fence Privacy Screen Windscreen,with Bindings & Grommets, Heavy Duty for Commercial and Residential, 90% Blockage, Cable Zip Ties Included, (Available for Custom Sizes)",E,TP,10,0.8,0.8,0.8,29619.17
2,!qscreen fence without holes,10,B077Z8Z8D8,"DAP INC 18741 Platinum 16OZ Patch Filler, 16.0 Fl Oz, White",E,FN,,0.8,0.8,0.8,29619.17
2,!qscreen fence without holes,10,B01EYHHO2G,"Zippity Outdoor Products ZP19014 Premium Vinyl Privacy Screen, 48""W x 48""H (Unassembled), White",E,FN,,0.8,0.8,0.8,29619.17
12,#1 black natural hair dye without ammonia or peroxide,22,B07B9Y13C6,Indus Valley Damage Free Permanent Gel Hair Color (Black 1.0),E,TP,1,0.7727,0.7727,0.7727,14546.19
12,#1 black natural hair dye without ammonia or peroxide,22,B0046NEYB8,"SoftSheen-Carson Dark & Natural Hair Color for Men 5 Minutes, Natural Looking Gray Coverage for Up To 6 Weeks, Shampoo-in Permanent Hair Dye, Jet Black, Ammonia Free, Natural Black",E,TP,2,0.7727,0.7727,0.7727,14546.19
